scenario,case,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_samples
evidence_tradeoff,A,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
evidence_tradeoff,A,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
evidence_tradeoff,A,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
evidence_tradeoff,A,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
evidence_tradeoff,A,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.6,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.8,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,1.0,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.2,functionality_day_30,pairwise_reversal_rate,0.0007811111111111112,0.0,0.0,10000
evidence_tradeoff,A,0.4,functionality_day_30,pairwise_reversal_rate,0.0012388888888888888,0.0,0.0,10000
evidence_tradeoff,A,0.6,functionality_day_30,pairwise_reversal_rate,0.0054177777777777774,0.0,0.06666666666666667,10000
evidence_tradeoff,A,0.8,functionality_day_30,pairwise_reversal_rate,0.012335555555555556,0.0,0.16666666666666666,10000
evidence_tradeoff,A,1.0,functionality_day_30,pairwise_reversal_rate,0.021624444444444443,0.0,0.23333333333333334,10000
evidence_tradeoff,A,0.2,functionality_day_30,mean_top3_jaccard,0.9996833333333334,1.0,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_30,mean_top3_jaccard,0.9992666666666667,1.0,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_30,mean_top3_jaccard,0.9946533333333333,1.0,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_30,mean_top3_jaccard,0.9870833333333332,0.8333333333333334,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_30,mean_top3_jaccard,0.9807933333333334,0.7333333333333334,1.0,10000
evidence_tradeoff,A,0.2,functionality_day_30,mean_kendall_tau,0.9983422222222224,1.0,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_30,mean_kendall_tau,0.9973555555555554,1.0,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_30,mean_kendall_tau,0.9909066666666667,0.8666666666666667,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_30,mean_kendall_tau,0.9805066666666665,0.7333333333333334,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_30,mean_kendall_tau,0.967688888888889,0.6444444444444445,1.0,10000
evidence_tradeoff,A,0.2,functionality_day_30,mean_spearman_rho,0.9991695238095238,1.0,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_30,mean_spearman_rho,0.9986,1.0,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_30,mean_spearman_rho,0.9942285714285714,0.9428571428571427,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_30,mean_spearman_rho,0.9862133333333333,0.7904761904761904,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_30,mean_spearman_rho,0.9757085714285715,0.6952380952380953,1.0,10000
evidence_tradeoff,A,0.2,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.6,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.8,functionality_day_90,top1_change_rate,0.1111111111111111,0.0,0.3333333333333333,10000
evidence_tradeoff,A,1.0,functionality_day_90,top1_change_rate,0.2222222222222222,0.0,0.3333333333333333,10000
evidence_tradeoff,A,0.2,functionality_day_90,pairwise_reversal_rate,0.0064266666666666665,0.0,0.07777777777777778,10000
evidence_tradeoff,A,0.4,functionality_day_90,pairwise_reversal_rate,0.013863333333333333,0.0,0.13333333333333333,10000
evidence_tradeoff,A,0.6,functionality_day_90,pairwise_reversal_rate,0.026822222222222216,0.0,0.18888888888888888,10000
evidence_tradeoff,A,0.8,functionality_day_90,pairwise_reversal_rate,0.04448222222222222,0.0,0.23333333333333334,10000
evidence_tradeoff,A,1.0,functionality_day_90,pairwise_reversal_rate,0.07074111111111112,0.0,0.24444444444444444,10000
evidence_tradeoff,A,0.2,functionality_day_90,mean_top3_jaccard,0.9864166666666668,0.6666666666666666,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_90,mean_top3_jaccard,0.97029,0.5,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_90,mean_top3_jaccard,0.9542700000000001,0.5,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_90,mean_top3_jaccard,0.9406666666666668,0.39999999999999997,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_90,mean_top3_jaccard,0.9159233333333333,0.39999999999999997,1.0,10000
evidence_tradeoff,A,0.2,functionality_day_90,mean_kendall_tau,0.9813155555555557,0.7777777777777778,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_90,mean_kendall_tau,0.959968888888889,0.6000000000000001,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_90,mean_kendall_tau,0.936231111111111,0.5111111111111112,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_90,mean_kendall_tau,0.9094844444444445,0.46666666666666673,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_90,mean_kendall_tau,0.8725644444444444,0.4666666666666666,1.0,10000
