case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,capacity_recovery_tradeoff,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_30,top1_change_rate,0.13333333333333333,0.0,0.3333333333333333,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_30,top1_change_rate,0.2,0.0,0.3333333333333333,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_30,top1_change_rate,0.4666666666666666,0.3333333333333333,0.6666666666666666,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_30,pairwise_reversal_rate,0.0004333333333333333,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_30,pairwise_reversal_rate,0.0014983333333333335,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_30,pairwise_reversal_rate,0.007733333333333334,0.0,0.1,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_30,pairwise_reversal_rate,0.017595000000000003,0.0,0.23333333333333334,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_30,pairwise_reversal_rate,0.030693333333333333,0.0,0.3333333333333333,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_30,mean_top3_jaccard,0.9989833333333334,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_30,mean_top3_jaccard,0.9975299999999999,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_30,mean_top3_jaccard,0.9901,0.8333333333333334,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_30,mean_top3_jaccard,0.9812033333333333,0.8333333333333334,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_30,mean_top3_jaccard,0.9694966666666667,0.7333333333333334,1.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_30,mean_kendall_tau,0.99872,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_30,mean_kendall_tau,0.9964066666666666,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_30,mean_kendall_tau,0.9868,0.8000000000000002,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_30,mean_kendall_tau,0.9719400000000001,0.6,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_30,mean_kendall_tau,0.9539466666666667,0.46666666666666673,1.0,10000
